date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:25	15055/15055	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2028%20Sep%202020%2006:23:16%20GMT	https://shopbilling.in/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.0.10	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min521d.js	(from https://shopbilling.in/)
08:31:27	727/727	---M-Z	200	added ('OK')	application/rss+xml	etag:%22fca681d7744aafaae684c0bb4b0473d6%22	https://shopbilling.in/comments/feed/	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/comments/feed/index.html	(from https://shopbilling.in/)
08:31:31	122595/122595	---M-Z	200	added ('OK')	application/json	date:Mon,%2021%20Dec%202020%2003:01:31%20GMT	https://shopbilling.in/wp-json/	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-json/index.html	(from https://shopbilling.in/)
08:31:32	42497/42497	---M-Z	200	added ('OK')	application/json	date:Mon,%2021%20Dec%202020%2003:01:32%20GMT	https://shopbilling.in/wp-json/wp/v2/pages/10	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-json/wp/v2/pages/10.json	(from https://shopbilling.in/)
08:31:35	798/798	---M-Z	200	added ('OK')	text/xml	date:Mon,%2021%20Dec%202020%2003:01:35%20GMT	https://shopbilling.in/xmlrpc.php?rsd	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/xmlrpc0db0.php	(from https://shopbilling.in/)
08:31:35	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:12%20GMT	https://shopbilling.in/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-includes/wlwmanifest.xml	(from https://shopbilling.in/)
08:31:39	2207/2207	---M-Z	200	added ('OK')	application/json	date:Mon,%2021%20Dec%202020%2003:01:39%20GMT	https://shopbilling.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fshopbilling.in%2F	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-json/oembed/1.0/embeda7b9.json	(from https://shopbilling.in/)
08:31:43	2301/2301	---M-Z	200	added ('OK')	text/xml	date:Mon,%2021%20Dec%202020%2003:01:43%20GMT	https://shopbilling.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fshopbilling.in%2F&format=xml	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-json/oembed/1.0/embedbf36	(from https://shopbilling.in/)
08:31:44	2031/2031	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:44%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE--D0fqaMe/w:32/h:32/q:auto/https://shopbilling.in/wp-content/uploads/2020/06/cropped-printer-1695681-1437194-removebg-preview.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE--D0fqaMe/w_32/h_32/q_auto/https_/shopbilling.in/wp-content/uploads/2020/06/cropped-printer-1695681-1437194-removebg-preview.png	(from https://shopbilling.in/)
08:31:45	7792/7792	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:45%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE--D0fqaMe/w:192/h:192/q:auto/https://shopbilling.in/wp-content/uploads/2020/06/cropped-printer-1695681-1437194-removebg-preview.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE--D0fqaMe/w_192/h_192/q_auto/https_/shopbilling.in/wp-content/uploads/2020/06/cropped-printer-1695681-1437194-removebg-preview.png	(from https://shopbilling.in/)
